MAG,glycolysis,gluconeogenesis,TCA Cycle,NAD(P)H-quinone oxidoreductase,NADH-quinone oxidoreductase,F-type ATPase,V-type ATPase,Cytochrome c oxidase,Ubiquinol-cytochrome c reductase,Cytochrome o ubiquinol oxidase,"Cytochrome c oxidase, cbb3-type",Cytochrome bd complex,RuBisCo,CBB Cycle,Wood-Ljungdahl,3-Hydroxypropionate Bicycle,4-Hydroxybutyrate/3-hydroxypropionate,diacetylchitobiose deacetylase,glucoamylase,D-galacturonate epimerase,chitinase,beta-N-acetylhexosaminidase,D-galacturonate isomerase,alpha-amylase,beta-glucosidase,pullulanase,nitrite oxidation,dissim nitrate reduction,DNRA,nitrite reduction,nitric oxide reduction,nitrous-oxide reduction,dissimilatory sulfate < > APS,dissimilatory sulfite < > sulfide,thiosulfate oxidation,alt thiosulfate oxidation tsdA,sulfur dioxygenase,sulfite dehydrogenase (quinone),sulfide oxidation,sulfur assimilation,transporter: phosphonate,transporter: phosphate,Flagellum,Chemotaxis,Methanogenesis via trimethylamine,Methanogenesis via CO2,Coenzyme B/Coenzyme M regeneration,anoxygenic type-II reaction center,Retinal biosynthesis,Retinal from apo-carotenals,Entner-Doudoroff Pathway,Mixed acid: Lactate,Mixed acid: Formate to CO2 & H2,Mixed acid: Acetate,"Mixed acid: Ethanol, Acetate to Acetylaldehyde","Mixed acid: Ethanol, Acetyl-CoA to Acetylaldehyde (reversible)","Mixed acid: PEP to Succinate via OAA, malate & fumarate",Naphthalene degradation to salicylate,Biofilm PGA Synthesis protein,Competence-related core components,Glyoxylate shunt,Sulfolipid biosynthesis,CP-lyase operon,Type I Secretion,Twin Arginine Targeting,Cobalt transporter CbiMQ,Cobalt transporter CorA,Copper transporter CopA,Fe-Mn transporter MntH,starch/glycogen synthesis,starch/glycogen degradation,polyhydroxybutyrate synthesis,bidirectional polyphosphate
bin.2.Actinobacteriota,0.67,0,0.75,0.07,0,1,0,0.25,0,0,0,0.5,0,0,0,0.06,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.75,0,0,0.5,1,0,0.3125,0,0,0.07,0,0,0,0,0.75,0,1,1,1,0.33,1,0,0.5
bin.20.Actinobacteriota,0.44,0,0.75,0,0.98,1,0,0,0,0,0,1,0,0,0.17,0.29,0.2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0.5,0,0.5,0,0.334,0,1,0,0.3955,0,0,0,0,0,0,0,0.75,0,1,1,1,0.66,1,0.334,1
bin.21.Gammaproteobacteria,0.89,1,0.88,0,0.77,1,0,0.75,0.99,0,0.25,1,0,0,0,0.18,0.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,1,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0.458,0,0,0.14,1,0,0,0.33,0.75,0,1,1,0,0,0,1.001,0.5
bin.22.Bacteroidota,0.89,0,0.62,0.07,0.91,1,0,1,0.33,0,0.5,0,0,0,0.17,0.12,0.2,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.16,1,0,0,0,1,0,0.25,0.04,0.12,0,0,0.2,0,1,1,0.5,0,0,0,1,0,0.5625,0,0,0.07,0,0,0.27,0.33,0.5,0,1,0,1,0.66,1,0.167,1
bin.23.Alphaproteobacteria,0.67,0,0.88,0,0.49,0.75,0,0.75,0.99,0,0.75,0,0,0,0,0.12,0.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,0,0,0,0.75,0,0.5,0,0,1,0,0,0.3955,0,0,0,1,0,0.09,0,0,0,1,0,0,0,0,0.334,1
bin.24.Actinobacteriota,0.78,0,1,0,0.98,1,0,0.75,0,0,0,0,0,0,0,0.12,0.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0.33,1,0,0.5,1,0,0,0,0.5,0,0.5,0,0.668,0,0,0,0.458,0,0,0.14,0,0,0,0,0.75,0,1,1,0,0,0,0.167,1
bin.25.Bacteriodota,0.11,0.22,0.62,0,0.7,0.5,0,1,0,0,0,0.5,0,0,0,0.12,0.3,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.12,0,0,0,0,0.5,0,0.25,0,0,0.5,1,0,0.083,0,0,0.07,0,0,0,0.33,0.5,0,1,0,1,0.66,1,0.167,1
bin.26.Bacteriodota,0.78,0.78,0.62,0,0.98,0.75,0,1,0,0,0.25,0,0,0,0,0.12,0.3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.04,0.25,0,0,0.2,0,1,0,0.5,1,0,1,1,0,0.5625,0,0,0.14,0,0,0.09,0.33,0.5,0,1,1,1,0.66,1,0.167,0.5
bin.27.Gammaproteobacteria,0.56,0.67,0.88,0.07,0.14,0.625,0,0.75,0.99,0,0,0.5,0,0,0.17,0.18,0.1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.33,0.25,0.96,0.88,0,0,0,1,0.75,1,0.5,0,0.501,0,1,0,0.3955,0,0,0.07,1,0,0,0,0.75,0,1,1,0,0.99,1,0.834,1
bin.28.Actinobacteriota,0.78,0,0.88,0.07,0.98,1,0,0.5,0,0,0,1,0,0,0.17,0.18,0.2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.33,1,0,0,0,0,0,0,0.75,0,0.5,0,0,1,1,0,0.458,0,0,0.07,0,0,0,0,0.75,1,1,1,1,0.66,1,0.834,1
bin.29.Acidobacteriota,0.56,0,0.62,0,0.91,0.875,0,1,0,0,0,0.5,0,0,0,0.24,0.4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.87,0.38,0,0,0,0,1,0,0.5,0,0,0.5,1,1,0.083,0,0,0.14,1,0,0.09,0,0.25,1,1,1,1,0.66,1,0.167,0.5
bin.3.Chloroflexota,0.33,0,0.75,0.07,0.63,0.625,0,0.75,0,0,0,0,1,0.91,0,0.35,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.04,0,0,0,0,0,0,0,0.75,0,0.167,0.5,1,0,0.333,0,0,0.07,0,0,0,0,0,0,1,1,0,0.33,1,0.167,1
bin.30.Cyanobacteria,0.67,0,0.38,0.98,0,1,0,0.75,0,0,0.5,0,1,1,0,0.12,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0.99,1,0,0.5,0,0,0,0,0.5,1,0.5,1,0,0,0,0,0,0,0,0.14,0,0.5,0,0.66,0.25,1,1,1,0,0.99,1,0,1
bin.31.Cyanobacteria,0.67,0.78,0.38,0.84,0,1,0,0.75,0,0,0,0,1,1,0,0.12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.99,1,0,0.38,0,0,0,0,0.25,1,0.75,0,0,0,1,0,0.083,0,0,0.14,0,0.5,0,0.33,0.5,1,1,1,0,0.66,1,0,0.5
bin.32.Gammaproteobacteria,0.44,0.56,0.88,0,0.98,1,0,0.75,0.99,0.5,1,0.5,0,0,0.17,0.29,0.2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.64,0,0,0,0,0,0.99,1,0,0.75,0,0,0,0,0.25,0,0.5,0,0.501,0,1,0,0.3955,0,0,0.14,0,0,0.09,0.33,0.75,0,1,1,0,0.99,1,0.834,1
bin.33.Actinobacteriota,0.67,0,0.75,0.07,0.21,1,0,0.75,0,0,0,0,0,0,0,0.12,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1,0.65,0,0,0,0,0,0.5,0,0.75,1,0,1,1,0,0.5625,0,0,0.07,0,0,0,0,0.75,0,1,0,0,0.66,1,0.167,0.5
bin.34.Gammaproteobacteria,0.56,0,0.88,0.07,0.98,1,0,0.5,0.99,1,0,0,0,0,0,0.18,0.2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.25,0,0,0,0,0,0,0.75,0,0.75,0,0,0,0,0,0.3955,0,0,0.14,0,0,0,0.33,0.75,0,1,0,0,0,1,0.834,1
bin.35.Gammaproteobacteria,0.78,0.89,1,0.07,0.84,1,0,0.75,0.99,0,0.75,0.5,0,0,0,0.29,0.2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0.99,1,0,0,1,0.96,0.88,1,0,0,1,0.75,0,0.75,0,0.167,0.5,1,0,0.458,0,0,0.14,1,0,0,0.99,0.75,0,1,1,0,0.99,1,0.834,1
bin.36.Cyanobacteria,0.67,0,0.25,0.77,0,1,0,0.75,0,0,0,0,1,1,0,0.12,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.99,1,0,0.25,0,0,0,0,0.5,1,0.75,0,0,0,0,0,0.0625,0,0.25,0.07,0,0.5,0,0.66,0.5,0,0,1,1,0.99,1,0,0
bin.37.Alphaproteobacteria,0.67,0,0.25,0.07,0.7,1,0,0.5,0.99,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0.5,0,0.25,0,0,0,0,0,0.25,0,0,0.07,1,0,0.09,0.33,0.75,0,1,1,0,0,0,0.834,1
bin.38.Actinobacteriota,0.78,0,0.62,0,0.98,1,0.55,0.75,0,0,0,0,0,0,0.17,0.18,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.75,0,0,1,0.05,0,0,0.25,0,0.75,0,0.835,0,1,0,0.458,0,0,0.14,1,0,0.09,0,0.5,0,1,1,1,0.66,1,0.167,1
bin.39.Bacteroidota,0.67,0.67,0.38,0,0.98,0.875,0,1,0,0,0.25,0,0,0,0,0,0.1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.12,0,0,0.2,0,1,0,0.5,0,0,0.5,1,0,0.3125,0,0,0.14,0,0,0.09,0.33,0.5,0,1,1,0,0.33,1,0,0.5
bin.4.Bacteroidota,0.33,0,0.62,0,0.7,0.375,0,1,0,0,0,0,0,0,0,0.06,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0.5,0,0,0,0.167,0,1,0,0.3955,0,0,0,0,0,0.09,0.33,0.5,0,1,1,1,0.33,1,0.167,0
bin.40.Bacteroidota,0.44,0,0.38,0,0.42,1,0,0.5,0,0,0.25,0,0,0,0,0.12,0.1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.25,0.04,0,0,0,0.2,0,0.75,0,0.75,0,0,0,1,0,0.5625,0,0,0.07,0,0,0.09,0.33,0.25,0,1,0,0,0.66,1,0.167,1
bin.41.Alphaproteobacteria,0.22,0,0.25,0.07,0.49,0.75,0,0.5,0.99,0,0,0,0,0,0,0.06,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,0,0,0,0.5,0,0.5,1,0,0,0,0,0.3125,0,0,0,1,0,0.09,0.33,0.75,0,1,1,0,0,0,0.834,1
bin.42.Actinobacteriota,0.33,0,0.38,0.07,0.14,0.5,0.44,0.75,0,0,0,1,0,0,0.17,0.12,0.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0.52,0,0,0,0,0,0.75,0,0.75,0,0.334,1,1,0,0.5625,0,0,0.07,1,0,0,0,0.75,0,1,1,1,0.66,1,0.167,0.5
bin.43.Cyanobacteria,0.67,0.78,0.5,0.91,0,0.875,0,0.75,0,0,0,0,0,0,0,0.18,0.1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,1,0,0.38,0,0,0,0.5,0.25,0,0.75,0,0,0.5,1,0,0.0625,0,0,0.07,0,0.5,0,0.66,0.5,0,1,0,1,0.99,1,0,1
bin.44.Cyanobacteria,0.67,0.78,0.5,0.77,0,0.75,0,0.75,0,0,0,1,1,0.91,0,0.12,0.1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.66,1,0,0.5,0,0,0,0,0.5,0,0.75,0,0,0,0,0,0.0625,0,0.25,0.07,0,0.5,0,0.33,0.5,0,1,1,0,0.99,1,0,1
bin.45.Bacteroidota,0.56,0.67,0.38,0,0.7,0.625,0,1,0,0,0.5,0,0,0,0,0.06,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.2,0,0.25,0,0.5,0,0,0,1,0,0.25,0,0,0.07,0,0,0.09,0.33,0.5,0,1,1,1,0.66,1,0,1
bin.46.Actinobacteriota,0.44,0,0.75,0.07,0.84,0.625,0,0.75,0,0,0,0,0,0,0.17,0.12,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.75,0.04,0,1,0.05,0,0,0.25,0,0.25,0,0.501,0,1,0,0.333,0,0,0.07,0,0,0,0,0.75,0,1,1,0,0.99,1,0.167,1
bin.5.Cyanobacteria,0.44,0,0,0.84,0,0.5,0,0.25,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.12,0,0,0,0,0.75,1,0.75,0,0,0,1,0,0.0625,0,0,0,0,0,0,0,0.5,1,1,0,0,0.99,1,0,0.5
bin.6.Actinobacteriota,0.78,0,0.75,0.07,0.21,1,0,0.75,0,0,0,1,0,0,0,0.06,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.99,1,0.78,0,0,0,0,0,0.75,0,0.75,0,0,1,1,0,0.5625,0,0,0.14,1,0,0,0,0.75,0,1,1,1,0.66,1,0.167,1
bin.7.Actinobacteriota,0.78,0,0.5,0,0.42,0,0,0.75,0,0,0,1,0,0,0.17,0.29,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.99,1,0,0,0,0.05,0,0,0.25,0,0.75,0,0,1,1,0,0.333,0,0,0.14,0,0,0,0,0.75,1,1,1,0,0.33,1,0.334,0.5
bin.8.Alphaproteobacteria,0.78,0,0.25,0,0.14,0.5,0,0.75,0.99,0.75,0,0,0,0,0,0,0.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.04,0.75,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0.25,0,0.25,0.07,1,0,0.09,0.33,0.75,0,1,1,1,0,0,0.334,1
bin.9.Actinobacteriota,0.89,0,0.88,0,0.98,1,0,0.75,0,0,0,0.5,0,0,0.17,0.35,0.2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.99,0.75,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,1,0,0.208,0,0,0.14,0,0,0,0,0.75,0,1,1,0,0.66,1,0.334,1
